id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,would n't quite recommend,restaurant,suitability,negative,weak,I,author,for date night or a rehearsal dinner,
,,,plenty acceptable,restaurant,suitability,positive,average,I,author,for grabbing a quick lunch or dinner on your way somewhere else,
r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,really enjoyed,food,quality,positive,strong,my,author,,
,,ambiance,really enjoyed,environment,atmosphere,positive,strong,my,author,,
,,server ladies,really sweet and helpful,staff,service,positive,strong,,author,,
r-14,Great place !,,great,place,general,positive,strong,,author,,
r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",,easy to miss,location,visibility,negative,average,my,author,walking by on e. hastings,
r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,had to search for our waitress,staff,customer_service,negative,strong,I,customer,,
,,service,took about a hour before we receive our food,service time,operational_performance,negative,strong,I,customer,,
r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,splash of coke,insult,drink,service_quality,negative,strong,I,customer,,he added a splash of coke to our drinks
,,,relatively calm,self,personal_trait,neutral,average,I,customer,,
r-20,The old place was more accommodating to singles .,,more accommodating,place,service,positive,average,,author,to singles,
r-21,This chicken is unbelievable .,chicken,unbelievable,food,taste,positive,strong,,author,,
r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,quality,negative,strong,,author,also,
r-27,I was reluctant to go here .,,reluctant,place,general,negative,strong,I,author,,
r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,amazing,food,taste,positive,strong,,author,,
,,french fries,to die for,food,taste,positive,strong,,author,,
,,milkshakes,,beverage,taste,positive,strong,,author,dont even get me STARTED,
