id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,sentiment_intensity,opinion_holder_span,opinion_holder_entity,opinion_qualifier,opinion_reason
c-5,I have always worn LifeStride shoes but was disappointed when they were not leather and they were made in China .,LifeStride shoes,disappointed,product,material_quality,negative,strong,I,author,,they were not leather and they were made in China
c-7,I use them for musical theatre productions and they holdup well .,,holdup well,them (referring to unspecified items used for musical theatre productions),durability,positive,average,I,author,for musical theatre productions,
c-8,"She said they are so comfortable , and they are perfect .",,so comfortable,product,comfort,positive,strong,she,customer,,
,,,perfect,product,general,positive,strong,she,customer,,
c-10,"They slot over the abdomen as I was putting them on very carefully this morning -could not wear them , will return .",slot over the abdomen,,fit,usability,negative,strong,I,author,as I was putting them on very carefully this morning,could not wear them
,,,will return,product,customer_service,negative,strong,I,author,,could not wear them
c-11,"These are the most comfortable shoes I 've ever worn , and they 're stylish .",shoes,most comfortable,footwear,comfort,positive,strong,I,author,,
,,shoes,stylish,footwear,appearance,positive,strong,,author,,
c-12,I bought 2 other pairs for other cast members !,,,purchase,general,positive,average,I,author,for other cast members,
c-13,Comfortable and attractive .,,comfortable,product,general,positive,average,,author,,
,,,attractive,product,general,positive,average,,author,,
c-15,Everything else about these tights is amazing .,these tights,amazing,product,general,positive,strong,,author,everything else,
c-16,These shoes are great .,shoes,great,product,general,positive,strong,,author,,
c-17,"Although the tights make the legs look beautiful , I have noticed the the seams are coming apart at the crotch .",tights,make the legs look beautiful,appearance,aesthetics,positive,strong,,author,,
,,seams,coming apart,durability,quality,negative,strong,I,author,,
c-18,They are nice and exactly what I expected .,,nice,product,general,positive,average,,author,,
,,,exactly what I expected,product,general,positive,strong,I,author,,
c-19,"My husband loves his boots , excellent quality .",boots,loves,boots,product_experience,positive,strong,my husband,customer,,
,,quality,excellent,boots,product_quality,positive,strong,,author,,
c-20,Very small fit .,fit,very small,size,physical_attributes,negative,strong,,author,,
c-25,Follow the capezio size chart and you 're in the clear .,capezio size chart,in the clear,sizing guide,usability,positive,strong,,author,follow the capezio size chart,
c-21,The soles are soft too .,soles,soft,soles,material_quality,positive,weak,,author,too,
c-24,Order 1 size larger than needed .,size,,product,sizing,neutral,average,,author,,order 1 size larger than needed
l-1,Great for Programming and for low end gaming,programming,great,software,usability,positive,strong,,author,,
,,low end gaming,great,gaming,usability,positive,strong,,author,,
l-2,"The combination of these design flows leads to broken displays when the magsafe plug is caught inside the computer upon closing , breaking the monitor .",design flows,broken,display,design,negative,strong,,author,,when the magsafe plug is caught inside the computer upon closing
,,magsafe plug,breaking,monitor,design,negative,strong,,author,,when the magsafe plug is caught inside the computer upon closing
l-3,Images are too dark and blurry .,images,too dark,images,visual_quality,negative,strong,,author,,
,,images,blurry,images,visual_quality,negative,strong,,author,,
l-5,"I got it mainly to do android app development , and let me tell you , it 's worth more than it 's price .",,worth more than it 's price,product,value_for_money,positive,strong,I,author,mainly to do android app development,
l-6,I 'm a mac user and I would love to get this laptop .,laptop,would love,product,purchase_intent,positive,strong,I,author,,
l-7,Keyboard : it is all mushy no tactile feedback .,keyboard,all mushy no tactile feedback,keyboard,operational_performance,negative,strong,,author,,
l-9,"For the price you can not go wrong , especially having an 8th gen Intel processor .",price,can not go wrong,value,price,positive,strong,,author,especially having an 8th gen Intel processor,
l-10,"It 's very well made - solid construction and a comfortable , well-sized keyboard .",construction,very well made,build quality,design,positive,strong,,author,,solid construction
,,keyboard,"comfortable , well-sized",keyboard,design,positive,strong,,author,,
l-12,Camera and microphone are both high enough quality for discord/google hangouts/etc .,camera,high enough quality,camera,operational_performance,positive,average,,author,for discord/google hangouts/etc,
,,microphone,high enough quality,microphone,operational_performance,positive,average,,author,for discord/google hangouts/etc,
l-13,It has a nice keyboard touch .,keyboard touch,nice,keyboard,operational_performance,positive,average,,author,,
l-14,"Please do not purchase this computer , it performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed .",computer,performs worse,computer,operational_performance,negative,strong,,author,,performs worse than the $ 200 computer I used while waiting on the ' replacement ' computer I got when the other one crashed
l-15,It took a few weeks for them to send it back .,,,service,timeliness,negative,average,,author,,took a few weeks to send it back
l-17,I have gone through all the troubleshooting steps and still nothing .,troubleshooting steps,nothing,process,problem_solving,negative,strong,I,author,,gone through all the troubleshooting steps and still nothing
l-18,"Even without a SSD , it is still pretty fast .",,pretty fast,device,operational_performance,positive,average,,author,even without a SSD,
l-19,I really liked the laptop for its sleekness and weight .,laptop,really liked,device,design,positive,strong,I,author,for its sleekness and weight,
l-24,Delivery - very fast by courier .,delivery,very fast,service,delivery,positive,strong,,author,by courier,
l-28,"This laptop is verry good , the screen is not the best but its good for the price , its a cheap gaming laptop and works with every game i trow at it : - )",laptop,verry good,product,general,positive,strong,,author,,
,,screen,not the best but its good for the price,display,value_for_money,positive,average,,author,,
,,gaming laptop,works with every game i trow at it,product,operational_performance,positive,strong,i,author,,
l-26,"Laptop was new , in perfect condition and works like a charm .",laptop,new,product,condition,positive,strong,,author,,
,,condition,perfect,product,condition,positive,strong,,author,,
,,works,like a charm,product,operational_performance,positive,strong,,author,,
l-29,"I had hoped for better battery life , as it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU ) .",battery life,hoped for better,battery,operational_performance,negative,average,I,author,,it had only about 2-1/2 hours doing heavy computations ( 8 threads using 100 % of the CPU )
l-21,Feel really disappointed as was so happy with previous model .,previous model,really disappointed,product,general,negative,strong,,author,,was so happy with previous model
r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",waiting time,incredibly long time,service,service_time,negative,strong,we,customer,,just to get our food
r-2,I come here because you leave full and with money still in your pockets .,,leave full,experience,value_for_money,positive,strong,I,customer,,
,,,with money still in your pockets,cost,value_for_money,positive,strong,I,customer,,
r-3,I love hot pot but the service just makes things bad here .,hot pot,love,food,taste,positive,strong,I,author,,
,,service,makes things bad,service,customer_service,negative,strong,,author,,
r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",pho,makes me wanting,dish,taste,positive,strong,I,author,every time I come,
r-5,This is one of my favorite brunch places .,brunch places,favorite,restaurant,general,positive,strong,my,author,one of,
r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,oils and fresh bread,tasty,food,quality,positive,strong,,author,,Other establishments on the North End spoil you
,,,big miss,establishment,service,negative,strong,,author,here,
r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,venue,ambiance,positive,strong,,author,,nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating
r-9,This will probably be the last time we will come here .,,last time,place,general,negative,strong,we,author,probably,
r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",driving out the wrong way,idiots,drivers,behavior,negative,strong,,author,,Stop driving out the wrong way
,,credit cards,bummer,payment options,service,negative,weak,,author,No,No credit cards
,,ATM,,payment options,service,positive,weak,,author,do have,they do have an ATM inside
r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,would n't quite recommend,event,suitability,negative,weak,I,author,for date night or a rehearsal dinner,
,,,plenty acceptable,meal,suitability,positive,average,I,author,for grabbing a quick lunch or dinner on your way somewhere else,
r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,country style breakfast,really enjoyed,food,food_quality,positive,strong,my bestie and I,customers,,
,,ambiance,really enjoyed,environment,atmosphere,positive,strong,my bestie and I,customers,,
,,server ladies,really sweet and helpful,staff,service,positive,strong,,author,,
r-14,Great place !,place,great,location,general,positive,strong,,author,,
r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",spot,easy to miss,location,visibility,negative,average,my,author,walking by on E. Hastings,
r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,service,had to search for our waitress,staff,service,negative,strong,I,customer,,
,,food delivery time,took about a hour before we receive our food,service,service,negative,strong,I,customer,,
r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,splash of coke,insult,drink,service_quality,negative,strong,I,author,,he added a splash of coke to our drinks
,,,relatively calm,self,personal_trait,neutral,average,I,author,,
r-20,The old place was more accommodating to singles .,old place,more accommodating,venue,service,positive,average,,author,to singles,
r-21,This chicken is unbelievable .,chicken,unbelievable,food,taste,positive,strong,,author,,
r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,food,quality,negative,strong,,author,,
r-27,I was reluctant to go here .,,reluctant,place,general,negative,strong,I,author,,
r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",turkey burger,amazing,food,taste,positive,strong,,author,,
,,french fries,to die for,food,taste,positive,strong,,author,,
,,milkshakes,dont even get me STARTED,beverage,taste,positive,strong,,author,,
