id,raw_text,aspect_term,sentiment_expression,target_entity,aspect_category,sentiment_polarity,opinion_holder_span,opinion_holder_entity,sentiment_intensity,opinion_qualifier,opinion_reason
r-1,"Weird , but whatever , I need to eat regardless of the coupon.We waited for what seemed like an incredibly long time just to get our food .",,NULL,Service,Quality,NEG,I,Author,average,,waited for what seemed like an incredibly long time
r-2,I come here because you leave full and with money still in your pockets .,money,,Restaurant,Prices,POS,I,Author,weak,,you leave full and with money still in your pockets
r-3,I love hot pot but the service just makes things bad here .,hot pot,love,Food,Quality,POS,I,Author,strong,,
,,service,bad,Service,General,NEG,I,Author,average,,
r-4,"I do n't usually order PhO ( I do n't think I do at all because my mom is a great Pho cooker ) , yet this place makes me wanting Pho every time I come .",Pho,,Food,Quality,POS,I,Author,strong,,this place makes me wanting Pho every time I come .
r-5,This is one of my favorite brunch places .,brunch places,favorite,Restaurant,General,POS,my,Author,strong,,
r-6,Other establishments on the North End spoil you with tasty oils and fresh bread ... that 's a big miss here !,fresh bread,big miss,Food,Quality,NEG,,Author,strong,establishments on the North End,
,,tasty oils,big miss,Food,Quality,NEG,,Author,strong,establishments on the North End,
r-8,"Im going to have to come back here to try the food , so this review is just for the drinks , service and atmosphere.The atmosphere is great , nothing is too overwhelming and it does n't seem like they 're trying to beat you over the head with a theme in the decorating .",atmosphere,great,Ambience,General,POS,Im,Author,strong,,nothing is too overwhelming
,,atmosphere,NULL,Ambience,Style_Options,POS,Im,Author,weak,,does n't seem like they 're trying to beat you over the head with a theme in the decorating
r-9,This will probably be the last time we will come here .,,,Restaurant,General,NEG,we,Author,average,,last time we will come here
r-10,"Stop driving out the wrong way , idiots.No credit cards , which is a bummer , but they do have an ATM inside .",credit cards,bummer,Service,Miscellaneous,NEG,,Author,average,,
,,ATM,,Service,Miscellaneous,POS,,Author,weak,,
r-12,"So , while I would n't quite recommend it for date night or a rehearsal dinner , it 's plenty acceptable for grabbing a quick lunch or dinner on your way somewhere else .",,plenty acceptable,Restaurant,General,POS,I,Author,average,for grabbing quick lunch or dinner,
,,,would n't quite recommend,Restaurant,General,NEG,I,Author,average,for date night or a rehearsal dinner,
r-13,Went to breakfast with my bestie here and really enjoyed the country style breakfast and ambiance. They were pretty crowded for a weekday and our server ladies were really sweet and helpful .,server ladies,really sweet and helpful,Service,Quality,POS,my,Author,strong,,
,,ambiance,really enjoyed,Ambience,General,POS,my,Author,strong,,
,,country style breakfast,really enjoyed,Food,Style_Options,POS,my,Author,strong,,
r-14,Great place !,place,Great,Restaurant,General,POS,,Author,strong,,
r-17,"My advice to the owners : Walking by on E. Hastings , it 's easy to miss this spot .",spot,easy to miss,Location,General,NEG,my,Author,weak,Walking by on E. Hastings,
r-18,The reason why I gave 3 stars is because we had to search for our waitress and it took about a hour before we receive our food .,waitress,3 stars,Service,Miscellaneous,NEG,I,Author,weak,,search for our waitress and it took about a hour before we receive our food
r-20,To add more insult he added a splash of coke to our drinks ... ..I 'm a relatively calm guy .,,add more insult,Service,Miscellaneous,NEG,I,Author,average,,added a splash of coke to our drinks
r-20,The old place was more accommodating to singles .,old place,more accommodating,Restaurant,General,POS,,Author,average,singles,
r-21,This chicken is unbelievable .,chicken,unbelievable,Food,General,POS,,Author,strong,,
r-23,The chicken was also overcooked and dry .,chicken,overcooked and dry,Food,Quality,NEG,,Author,average,,
r-27,I was reluctant to go here .,,reluctant,Restaurant,General,NEU,I,Author,average,,
r-28,"Amazing turkey burger , french fries are to die for , and dont even get me STARTED on the milkshakes .",french fries,to die for,Food,Quality,POS,me,Author,strong,,
,,turkey burger,Amazing ,Food,Quality,POS,me,Author,strong,,
,,milkshakes,,Drinks,Quality,POS,me,Author,strong,,
